gene_id,variance
ENSG00000126010.6,7.211279194101984
ENSG00000180777.14,7.1982039964357245
ENSG00000211934.3,7.194351653149081
ENSG00000169035.12,7.193841181346341
ENSG00000211949.3,7.182297492634245
ENSG00000134762.17,7.1732244509996645
ENSG00000084628.10,7.1666449818246445
ENSG00000225972.1,7.161998653525134
ENSG00000136457.10,7.143094253957296
ENSG00000211966.2,7.131109252628745
ENSG00000101443.18,7.117013372429756
ENSG00000253755.1,7.110525672664977
ENSG00000171428.15,7.1029865171229405
ENSG00000172478.18,7.102809574953209
ENSG00000241361.8,7.089014240320366
ENSG00000239951.1,7.067301324242804
ENSG00000211679.2,7.05650170257853
ENSG00000108018.15,7.043651864731302
ENSG00000268104.3,7.035306344005679
ENSG00000129988.6,7.032546444069916
ENSG00000204385.13,7.030024008821357
ENSG00000241351.3,7.01933895449523
ENSG00000206075.14,7.019271938002882
ENSG00000170786.12,7.009468169316412
ENSG00000178568.15,7.0076468616081025
ENSG00000067715.14,7.000156757936023
ENSG00000108576.10,6.989528771462055
ENSG00000165863.17,6.988501446459983
ENSG00000170367.5,6.986258954333203
ENSG00000148346.12,6.980828735221592
ENSG00000171346.16,6.967997823154478
ENSG00000211895.5,6.9526819425414015
ENSG00000247627.2,6.950907474374224
ENSG00000156689.7,6.9485703293204075
ENSG00000164287.13,6.9425314570092604
ENSG00000114248.10,6.939531752152353
ENSG00000282651.2,6.931136934393815
ENSG00000255774.2,6.926373390060832
ENSG00000204792.2,6.919332700609232
ENSG00000211640.4,6.91874012649147
ENSG00000203697.12,6.906137410920638
ENSG00000196611.5,6.895595141952445
ENSG00000139352.4,6.882197488196005
ENSG00000282122.1,6.878349015913853
ENSG00000144891.18,6.8625653876900765
ENSG00000261175.6,6.846739365497049
ENSG00000249661.1,6.846160235666882
ENSG00000211651.3,6.845809873664989
ENSG00000174827.14,6.844296261174729
ENSG00000112936.19,6.836224837127779
ENSG00000166535.20,6.8356653906559846
ENSG00000169900.8,6.807282208082071
ENSG00000211660.3,6.806828911754209
ENSG00000211452.11,6.785020043387822
ENSG00000211677.2,6.778095784078026
ENSG00000129514.8,6.735464907791088
ENSG00000211648.2,6.724139742557417
ENSG00000211638.2,6.722449860171727
ENSG00000185352.8,6.721701201768891
ENSG00000154198.14,6.715331501448063
ENSG00000171236.10,6.7106863433965485
ENSG00000124107.5,6.706372770327662
ENSG00000224373.3,6.696948114427099
ENSG00000276775.1,6.695757155238693
ENSG00000211964.3,6.6934747515126976
ENSG00000211653.2,6.681562442640952
ENSG00000081277.13,6.655695007754624
ENSG00000187288.12,6.65050314014485
ENSG00000100170.10,6.5836820705940635
ENSG00000103534.17,6.561744913490372
ENSG00000167755.15,6.546404135268994
ENSG00000129451.12,6.538193547485065
ENSG00000137699.17,6.531366714520978
ENSG00000211941.3,6.523978694887735
ENSG00000263639.7,6.502010454145715
ENSG00000065618.21,6.5019912365646375
ENSG00000280411.1,6.492850164567729
ENSG00000158258.16,6.4837532149323645
ENSG00000186377.8,6.482829094461925
ENSG00000077327.16,6.478288698883941
ENSG00000126562.17,6.453792269654404
ENSG00000169550.14,6.450919447826831
ENSG00000253802.2,6.444616222481048
ENSG00000244437.1,6.437993189344752
ENSG00000170893.4,6.418204781070009
ENSG00000110195.14,6.413330083906391
ENSG00000211938.2,6.408894821345784
ENSG00000132465.12,6.406475992241481
ENSG00000211937.3,6.394566651855082
ENSG00000188505.5,6.382842660574646
ENSG00000211943.2,6.382541232201706
ENSG00000070193.5,6.3794014409353546
ENSG00000147255.19,6.367437437584511
ENSG00000211669.3,6.364753372621511
ENSG00000064787.13,6.364571955322093
ENSG00000107159.13,6.352186799986302
ENSG00000188257.12,6.336692743258003
ENSG00000168702.18,6.316231907113829
ENSG00000179593.16,6.297495364011419
ENSG00000144452.15,6.288340476217191
ENSG00000270550.1,6.280242489306655
ENSG00000185008.17,6.271952899930859
ENSG00000211892.4,6.269337782325074
ENSG00000137558.9,6.26774523381227
ENSG00000152977.10,6.26592842399284
