k,endpoint,view,label,n_boot_valid,point_estimate,ci90_lower,ci90_upper,ci95_lower,ci95_upper,sesoi,p_tost,p_two_sided,equivalent,superior,conclusion,mdd_80pct_power,p_two_sided_BH,p_tost_BH,superior_after_BH,equivalent_after_BH
3,cindex_cluster_only,collectri_edgeperm__ulm,cindex_cluster_only:collectri_edgeperm__ulm,1000,-0.008359510842366654,-0.03779609869958489,0.0019814892948532576,-0.044808567637345594,0.004704336389685559,0.02,0.072,0.182,FALSE,FALSE,"INCONCLUSIVE: cannot exclude zero, and cannot exclude a meaningful effect either -- underpowered",0.03186200949308012,0.99,0.12452941176470587,FALSE,FALSE
3,cindex_cluster_only,collectri_edgeperm__viper,cindex_cluster_only:collectri_edgeperm__viper,1000,-0.006506217089881551,-0.019913357575680784,0.0030636117743285812,-0.041772401933712566,0.005333586470143131,0.02,0.05,0.234,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.028844090443226316,0.99,0.12452941176470587,FALSE,FALSE
3,cindex_cluster_only,dorothea_AB__consensus,cindex_cluster_only:dorothea_AB__consensus,1000,-0.001147886925223951,-0.033317399204307735,0.007328465274401175,-0.03702936270644874,0.009792678647622321,0.02,0.087,0.816,FALSE,FALSE,"INCONCLUSIVE: cannot exclude zero, and cannot exclude a meaningful effect either -- underpowered",0.0335464547026118,0.99,0.1327894736842105,FALSE,FALSE
3,cindex_cluster_only,dorothea_AB__mlm,cindex_cluster_only:dorothea_AB__mlm,1000,-0.008040911632095669,-0.036649043620478064,0.009422239515824143,-0.03916205635811964,0.01107037445601766,0.02,0.311,0.972,FALSE,FALSE,"INCONCLUSIVE: cannot exclude zero, and cannot exclude a meaningful effect either -- underpowered",0.04681756945342848,0.99,0.311,FALSE,FALSE
3,cindex_cluster_only,dorothea_AB__norm_wsum,cindex_cluster_only:dorothea_AB__norm_wsum,1000,3.58036009429597e-4,-0.00884050179991928,0.008536652016295948,-0.03430038027550378,0.03209312281241528,0.02,0.047,0.85,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.030538605363341124,0.99,0.12452941176470587,FALSE,FALSE
3,cindex_cluster_only,dorothea_AB__ulm,cindex_cluster_only:dorothea_AB__ulm,1000,0.0014600669983457298,-0.0068235748769114755,0.029998841547546964,-0.009778741346809042,0.03605505817096155,0.02,0.062,0.966,FALSE,FALSE,"INCONCLUSIVE: cannot exclude zero, and cannot exclude a meaningful effect either -- underpowered",0.030390571939770742,0.99,0.12452941176470587,FALSE,FALSE
3,cindex_cluster_only,dorothea_AB__viper,cindex_cluster_only:dorothea_AB__viper,1000,-3.010884888750649e-4,-0.009690660186585952,0.007907891832465439,-0.03515388105044215,0.03227097455488062,0.02,0.046,0.99,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.030474263573028997,0.99,0.12452941176470587,FALSE,FALSE
3,cindex_cluster_only,dorothea_AB_edgeperm__consensus,cindex_cluster_only:dorothea_AB_edgeperm__consensus,1000,-0.0031976288956413823,-0.013662820145646903,0.027664555139232046,-0.0160786906377578,0.031843251834069816,0.02,0.073,0.378,FALSE,FALSE,"INCONCLUSIVE: cannot exclude zero, and cannot exclude a meaningful effect either -- underpowered",0.032043178003917996,0.99,0.12452941176470587,FALSE,FALSE
3,cindex_cluster_only,dorothea_AB_edgeperm__mlm,cindex_cluster_only:dorothea_AB_edgeperm__mlm,1000,-0.0016288926237212184,-0.007718342857662708,0.004815740145602319,-0.030256157907621737,0.031002950291290625,0.02,0.036,0.58,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.026794577143617417,0.99,0.12452941176470587,FALSE,FALSE
3,cindex_cluster_only,dorothea_AB_edgeperm__norm_wsum,cindex_cluster_only:dorothea_AB_edgeperm__norm_wsum,1000,-0.010646887940034202,-0.021776784678392377,0.0010463837507197265,-0.04409675770780983,0.023132772637965263,0.02,0.073,0.122,FALSE,FALSE,"INCONCLUSIVE: cannot exclude zero, and cannot exclude a meaningful effect either -- underpowered",0.03160625885851769,0.99,0.12452941176470587,FALSE,FALSE
3,cindex_cluster_only,dorothea_AB_edgeperm__ulm,cindex_cluster_only:dorothea_AB_edgeperm__ulm,1000,-0.009900105246750578,-0.021382181680690903,0.013899601946445258,-0.04384667049073893,0.025472027994233832,0.02,0.068,0.138,FALSE,FALSE,"INCONCLUSIVE: cannot exclude zero, and cannot exclude a meaningful effect either -- underpowered",0.03271733831691639,0.99,0.12452941176470587,FALSE,FALSE
3,cindex_cluster_only,dorothea_AB_edgeperm__viper,cindex_cluster_only:dorothea_AB_edgeperm__viper,1000,-0.008777286468360623,-0.020520973309587298,0.020695938010149167,-0.025746160068926757,0.02603248599175213,0.02,0.056,0.172,FALSE,FALSE,"INCONCLUSIVE: cannot exclude zero, and cannot exclude a meaningful effect either -- underpowered",0.03309734344646861,0.99,0.12452941176470587,FALSE,FALSE
3,cindex_cluster_only,dorothea_AC__consensus,cindex_cluster_only:dorothea_AC__consensus,1000,4.458880599010191e-4,-0.030469714270931467,0.009616194963744397,-0.03410812069262749,0.02627457055766826,0.02,0.08,0.652,FALSE,FALSE,"INCONCLUSIVE: cannot exclude zero, and cannot exclude a meaningful effect either -- underpowered",0.03315187447726224,0.99,0.1288888888888889,FALSE,FALSE
3,cindex_cluster_only,dorothea_AC__mlm,cindex_cluster_only:dorothea_AC__mlm,1000,-0.0026364683694788454,-0.0327884022820961,0.007408624240150121,-0.03567993114175802,0.008728408325338511,0.02,0.129,0.85,FALSE,FALSE,"INCONCLUSIVE: cannot exclude zero, and cannot exclude a meaningful effect either -- underpowered",0.03341749494840233,0.99,0.16265217391304349,FALSE,FALSE
3,cindex_cluster_only,dorothea_AC__norm_wsum,cindex_cluster_only:dorothea_AC__norm_wsum,1000,2.6184509613230277e-4,-0.026262987385614448,0.008968791351123669,-0.034413401686407045,0.0319493405016822,0.02,0.055,0.826,FALSE,FALSE,"INCONCLUSIVE: cannot exclude zero, and cannot exclude a meaningful effect either -- underpowered",0.03152691615647674,0.99,0.12452941176470587,FALSE,FALSE
