model,k,term,estimate,std.error,statistic,p.value,conf.low,conf.high
T4_no_content_adjustment,3,clSNF_C3,1.3202313959747733,0.11771492954581653,2.359998194687745,0.018275023995599462,1.048216343114146,1.6628351106787624
T4_no_content_adjustment,3,periodlate_gt10y,NA,0,NA,NA,NA,NA
T4_no_content_adjustment,3,erPositive,0.5988930190888987,0.12112027110523925,-4.232753867895308,2.3084710171092043e-5,0.47233648040367754,0.7593587690006071
T4_no_content_adjustment,3,age,1.0397246153890314,0.0027875725811079815,13.974841573024321,2.2200707899087216e-44,1.0340595262444776,1.045420740691757
T4_no_content_adjustment,3,clSNF_C2:periodlate_gt10y,1.2273488900048255,0.15109402196539518,1.355821140890876,0.17515608312962597,0.9127599365771918,1.6503630773332947
T4_no_content_adjustment,3,clSNF_C3:periodlate_gt10y,0.5068301615414238,0.2318493533603669,-2.9311244942450556,0.0033773740286894634,0.32174508738837343,0.7983861221726559
T4_no_content_adjustment,3,periodlate_gt10y:erPositive,1.9722266491033327,0.24929337840155316,2.7243530797055024,0.006442758840207853,1.2099235066274943,3.214813113496188
T5_adjusted_for_stromal_immune,3,clSNF_C2,0.7041502168924464,0.11102221894177114,-3.1593997369288886,0.0015809448686571561,0.5664518940619447,0.8753215112304976
T5_adjusted_for_stromal_immune,3,clSNF_C3,1.3584443233963148,0.13687069716764563,2.238172022950917,0.02520983934256146,1.0388128057493093,1.776423018232415
T5_adjusted_for_stromal_immune,3,periodlate_gt10y,NA,0,NA,NA,NA,NA
T5_adjusted_for_stromal_immune,3,erPositive,0.6091224781792248,0.12193865608763683,-4.0654533500992365,4.793918300677289e-5,0.4796343231670029,0.7735688950976345
T5_adjusted_for_stromal_immune,3,age,1.0400164286482865,0.0027949298130915752,14.038459793132027,9.066163136330725e-45,1.0343348343947458,1.0457292318606561
T5_adjusted_for_stromal_immune,3,stromal_z,1.0893164827834476,0.04206959470322902,2.033545132356446,0.04199747868427337,1.0031003251640775,1.1829428920478187
T5_adjusted_for_stromal_immune,3,immune_z,0.9594263293699141,0.04480320760325896,-0.9244817263596521,0.3552355613181085,0.8787696981502741,1.0474859151672944
T5_adjusted_for_stromal_immune,3,clSNF_C2:periodlate_gt10y,1.2413223802925597,0.1782780228603591,1.212584948103577,0.22528854650931754,0.875253905552928,1.7604962880362793
T5_adjusted_for_stromal_immune,3,clSNF_C3:periodlate_gt10y,0.47098426738089433,0.26210260003276087,-2.8726559294635847,0.004070371542506221,0.28177617061512567,0.787242511089794
T5_adjusted_for_stromal_immune,3,periodlate_gt10y:erPositive,1.955726196110101,0.2510492805022363,2.6718323148889382,0.0075438335384692135,1.1956787695820312,3.198906806289057
T5_adjusted_for_stromal_immune,3,periodlate_gt10y:stromal_z,0.9575665228751096,0.07518676014327977,-0.5766984063476316,0.56414320918564,0.8263611059270528,1.1096040691586835
T5_adjusted_for_stromal_immune,3,periodlate_gt10y:immune_z,1.063693424189332,0.08364244579234272,0.7382282243806927,0.46037577432013027,0.9028589249227101,1.2531788404932522
T6_adjusted_for_content_and_subtype,3,clSNF_C2,0.7685372421206533,0.12167568408997677,-2.1636718819545613,0.03048954046229456,0.6054724509793816,0.9755183602012196
T6_adjusted_for_content_and_subtype,3,clSNF_C3,1.1935313710191089,0.14922207898289738,1.1855916533906987,0.23578360003047097,0.8908729545526024,1.599012660926662
T6_adjusted_for_content_and_subtype,3,periodlate_gt10y,NA,0,NA,NA,NA,NA
T6_adjusted_for_content_and_subtype,3,erPositive,0.6155061279713278,0.12886241377837745,-3.7661127328811674,1.6580894800069437e-4,0.47812835028824824,0.7923558461694675
T6_adjusted_for_content_and_subtype,3,age,1.039943714087528,0.002809108578592145,13.942711548240702,3.4844620048697095e-44,1.0342337754513018,1.045685176930373
T6_adjusted_for_content_and_subtype,3,stromal_z,1.1222982459116073,0.04274686803693347,2.6991120846192533,0.0069524756206485175,1.0321007273253424,1.2203783210582215
T6_adjusted_for_content_and_subtype,3,immune_z,1.012655922003778,0.04970919651843309,0.25300157845711807,0.8002669934400048,0.9186484825961645,1.1162833616959416
T6_adjusted_for_content_and_subtype,3,subtypeclaudin-low,0.577997091424788,0.18164297004336005,-3.0179337098958916,0.0025450456999469954,0.40486559879071543,0.8251642982100064
T6_adjusted_for_content_and_subtype,3,subtypeHer2,1.1028813335012448,0.14480138582727586,0.67627908878909,0.49886346680928034,0.8303737719812841,1.4648189488009258
T6_adjusted_for_content_and_subtype,3,subtypeLumA,0.6694482098243281,0.17843279951441318,-2.2490342270791537,0.024510318550614685,0.4718834112130882,0.9497280366031382
T6_adjusted_for_content_and_subtype,3,subtypeLumB,1.0518044258239359,0.17441805969959182,0.2895754608679318,0.7721410423941338,0.7472571381955629,1.4804710368565177
T6_adjusted_for_content_and_subtype,3,subtypeNormal,1.0701943323262342,0.20006926557098573,0.3390838207255379,0.7345465863902414,0.723041756531084,1.584024572022012
T6_adjusted_for_content_and_subtype,3,clSNF_C2:periodlate_gt10y,1.15305626554746,0.1931445711874604,0.7373546068692861,0.46090673246572406,0.7896698249538757,1.683664120755675
T6_adjusted_for_content_and_subtype,3,clSNF_C3:periodlate_gt10y,0.6402970654189712,0.28296662540530515,-1.5755322556638083,0.11513363916036447,0.3677222283027842,1.1149185456544295
T6_adjusted_for_content_and_subtype,3,periodlate_gt10y:erPositive,1.7226133137635948,0.2595495025626439,2.0953324928405594,0.03614144595383027,1.0357593497747155,2.8649479528241972
T6_adjusted_for_content_and_subtype,3,periodlate_gt10y:stromal_z,0.9370893926341113,0.0768174087129588,-0.8458577210333249,0.3976321206255461,0.8061092879053509,1.0893517082146233
T6_adjusted_for_content_and_subtype,3,periodlate_gt10y:immune_z,1.0228585185757464,0.08972052023425625,0.25190644050674404,0.8011133812878233,0.8579170937956273,1.2195112518322258
T6_adjusted_for_content_and_subtype,3,periodlate_gt10y:subtypeclaudin-low,2.7162514343417943,0.39443658426979006,2.5333673916120594,0.011297247665475577,1.2537903977297418,5.884573584167941
T6_adjusted_for_content_and_subtype,3,periodlate_gt10y:subtypeHer2,1.6750772996515946,0.363837832023988,1.4178275810084329,0.15624110962539636,0.8209855799245817,3.417701879813572
